"","Var1","Freq"
"1","-147.923107939857",1
"2","-147.11722469285",1
"3","-145.295197533402",1
"4","-145.150697739135",1
"5","-143.8340803764",1
"6","-143.751318625812",1
"7","-143.723720546328",1
"8","-142.966859977862",1
"9","-142.729389749889",1
"10","-142.674182384982",1
"11","-142.509604719023",1
"12","-142.450364825819",1
"13","-142.050974795404",1
"14","-141.876769590616",1
"15","-141.817904766924",1
"16","-141.682960137439",1
"17","-141.312464918787",1
"18","-141.259757074318",1
"19","-141.118638243564",1
"20","-140.905086776851",1
"21","-140.890293213702",1
"22","-140.84898713812",1
"23","-140.583065637926",1
"24","-140.158806795238",1
"25","-140.049081408506",1
"26","-139.887169065993",1
"27","-139.773414479275",1
"28","-139.115881933753",1
"29","-139.105681272832",1
"30","-138.811360766224",1
"31","-138.343482796316",1
"32","-138.318109393667",1
"33","-138.089247155051",1
"34","-137.878500448053",1
"35","-137.877995615092",1
"36","-137.867451953289",1
"37","-137.855188746431",1
"38","-137.617729506036",1
"39","-137.60906345896",1
"40","-137.599390645451",1
"41","-137.471658353609",1
"42","-137.387304462909",1
"43","-137.366849938654",1
"44","-136.949390376716",1
"45","-136.754458854264",1
"46","-136.734910959328",1
"47","-136.625491210587",1
"48","-136.530735595213",1
"49","-136.431731873367",1
"50","-136.431327963011",1
"51","-136.427751340096",1
"52","-136.190192943743",1
"53","-136.185438834313",1
"54","-136.150569822029",1
"55","-136.018375363644",1
"56","-136.003656891611",1
"57","-135.858696177327",1
"58","-135.772325806775",1
"59","-135.752706764603",1
"60","-135.742533927668",1
"61","-135.681826624536",1
"62","-135.63633537918",1
"63","-135.609361694882",1
"64","-135.442414774179",1
"65","-135.314209425597",1
"66","-135.222027339832",1
"67","-135.138926620839",1
"68","-134.989094062304",1
"69","-134.965816122262",1
"70","-134.962994512144",1
"71","-134.911155072595",1
"72","-134.767954813889",1
"73","-134.763918977002",1
"74","-134.753468589718",1
"75","-134.727041011881",1
"76","-134.533548492854",1
